 

stn;time;tre200s0;rre150g0;uor200s0;ure200s0;fu3010z0
GRE;202204220720;8.9;0.0;70.1;70.1;11.9
GRE;202204220730;9.2;0.0;69.1;69.1;12.6
GRE;202204220740;9.6;0.0;67.9;67.9;14.4
GRE;202204220750;9.9;0.0;67.6;67.6;12.6
GRE;202204220800;9.9;0.0;66.5;66.5;14.4
GRE;202204220810;10.1;0.0;65.7;65.7;13.7
GRE;202204220820;10.1;0.0;66.2;66.2;12.6
GRE;202204220830;10.2;0.0;66.3;66.3;12.6
GRE;202204220840;10.4;0.0;65.6;65.6;10.8
GRE;202204220850;10.6;0.0;65.0;65.0;11.2
GRE;202204220900;11.0;0.0;64.1;64.1;10.4
GRE;202204220910;11.1;0.0;63.5;63.5;9.0
GRE;202204220920;11.3;0.0;62.4;62.4;7.9
GRE;202204220930;11.6;0.0;61.9;61.9;7.9
GRE;202204220940;11.8;0.0;59.9;59.9;6.5
GRE;202204220950;11.9;0.0;58.7;58.7;7.2
GRE;202204221000;12.4;0.0;59.7;59.7;9.4
GRE;202204221010;12.6;0.0;58.1;58.1;9.4
GRE;202204221020;12.9;0.0;57.8;57.8;7.9
GRE;202204221030;13.2;0.0;57.8;57.8;7.9
GRE;202204221040;13.5;0.0;57.5;57.5;8.6
GRE;202204221050;13.8;0.0;56.4;56.4;8.3
GRE;202204221100;14.1;0.0;55.2;55.2;6.1
GRE;202204221110;14.8;0.0;53.7;53.7;8.3
GRE;202204221120;15.0;0.0;53.3;53.3;10.1
GRE;202204221130;14.9;0.0;53.4;53.4;9.4
GRE;202204221140;14.8;0.0;54.9;54.9;9.0
GRE;202204221150;14.7;0.0;55.2;55.2;9.4
GRE;202204221200;14.8;0.0;54.0;54.0;9.4
GRE;202204221210;15.0;0.0;52.6;52.6;7.9
GRE;202204221220;15.4;0.0;53.4;53.4;9.7
GRE;202204221230;15.6;0.0;52.2;52.2;9.0
GRE;202204221240;15.4;0.0;51.9;51.9;8.3
GRE;202204221250;15.6;0.0;52.9;52.9;8.3
GRE;202204221300;15.9;0.0;52.8;52.8;10.4
GRE;202204221310;16.0;0.0;51.1;51.1;7.9
GRE;202204221320;16.1;0.0;51.2;51.2;8.3
GRE;202204221330;16.4;0.0;50.7;50.7;11.2
GRE;202204221340;16.4;0.0;51.3;51.3;8.6
GRE;202204221350;16.6;0.0;48.4;48.4;8.3
GRE;202204221400;17.1;0.0;49.3;49.3;11.2
GRE;202204221410;17.1;0.0;48.7;48.7;9.7
GRE;202204221420;17.0;0.0;48.3;48.3;11.2
GRE;202204221430;16.7;0.0;50.2;50.2;12.6
GRE;202204221440;16.6;0.0;51.2;51.2;11.2
GRE;202204221450;16.9;0.0;49.3;49.3;10.4
GRE;202204221500;17.3;0.0;48.6;48.6;11.5
GRE;202204221510;17.6;0.0;47.4;47.4;9.4
GRE;202204221520;17.6;0.0;46.0;46.0;13.3
GRE;202204221530;17.6;0.0;46.0;46.0;11.5
GRE;202204221540;17.5;0.0;46.0;46.0;11.9
GRE;202204221550;17.2;0.0;44.8;44.8;13.0
GRE;202204221600;16.7;0.0;46.2;46.2;11.5
GRE;202204221610;16.5;0.0;48.7;48.7;9.4
GRE;202204221620;16.7;0.0;51.5;51.5;7.2
GRE;202204221630;17.0;0.0;47.3;47.3;8.3
GRE;202204221640;16.9;0.0;49.3;49.3;7.9
GRE;202204221650;16.7;0.0;50.0;50.0;8.6
GRE;202204221700;16.4;0.0;49.9;49.9;9.0
GRE;202204221710;16.0;0.0;54.2;54.2;8.3
GRE;202204221720;15.8;0.0;53.4;53.4;8.3
GRE;202204221730;15.5;0.0;54.9;54.9;5.8
GRE;202204221740;15.2;0.0;55.7;55.7;5.4
GRE;202204221750;15.0;0.0;56.2;56.2;6.8
GRE;202204221800;14.8;0.0;56.4;56.4;6.5
GRE;202204221810;14.3;0.0;57.8;57.8;5.0
GRE;202204221820;13.5;0.0;61.6;61.6;3.6
GRE;202204221830;13.1;0.0;63.5;63.5;4.0
GRE;202204221840;12.6;0.0;65.6;65.6;4.7
GRE;202204221850;10.8;0.0;71.9;71.9;4.3
GRE;202204221900;10.9;0.0;73.1;73.1;3.6
GRE;202204221910;11.3;0.0;71.3;71.3;3.6
GRE;202204221920;10.9;0.0;72.7;72.7;1.8
GRE;202204221930;11.0;0.0;73.2;73.2;2.9
GRE;202204221940;10.3;0.0;74.8;74.8;1.4
GRE;202204221950;9.2;0.0;79.2;79.2;2.9
GRE;202204222000;8.5;0.0;83.5;83.5;4.7
GRE;202204222010;8.9;0.0;83.8;83.8;4.7
GRE;202204222020;8.7;0.0;83.4;83.4;2.2
GRE;202204222030;9.3;0.0;79.3;79.3;2.5
GRE;202204222040;9.5;0.0;76.4;76.4;2.9
GRE;202204222050;9.7;0.0;76.2;76.2;2.2
GRE;202204222100;8.7;0.0;79.9;79.9;1.4
GRE;202204222110;8.1;0.0;81.9;81.9;0.4
GRE;202204222120;8.1;0.0;83.6;83.6;0.0
GRE;202204222130;7.9;0.0;85.0;85.0;0.7
GRE;202204222140;7.9;0.0;84.6;84.6;0.7
GRE;202204222150;7.0;0.0;87.9;87.9;1.8
GRE;202204222200;7.0;0.0;88.8;88.8;1.4
GRE;202204222210;7.2;0.0;88.3;88.3;0.7
GRE;202204222220;6.9;0.0;87.3;87.3;1.4
GRE;202204222230;6.9;0.0;87.0;87.0;0.7
GRE;202204222240;4.9;0.0;91.3;91.3;3.6
GRE;202204222250;5.4;0.0;94.8;94.8;5.0
GRE;202204222300;6.4;0.0;94.0;94.0;2.2
GRE;202204222310;6.1;0.0;92.5;92.5;0.4
GRE;202204222320;5.9;0.0;90.9;90.9;1.4
